venue,venue_name,label,type,window_end_year,publication_years,papers_in_window,h5_index,h5_median
SPE,Software: Practice and Experience,SPE,journal,2015,"[2011, 2012, 2013, 2014, 2015]",0,0,
SPE,Software: Practice and Experience,SPE,journal,2016,"[2012, 2013, 2014, 2015, 2016]",0,0,
SPE,Software: Practice and Experience,SPE,journal,2017,"[2013, 2014, 2015, 2016, 2017]",0,0,
SPE,Software: Practice and Experience,SPE,journal,2018,"[2014, 2015, 2016, 2017, 2018]",0,0,
SPE,Software: Practice and Experience,SPE,journal,2019,"[2015, 2016, 2017, 2018, 2019]",0,0,
SPE,Software: Practice and Experience,SPE,journal,2020,"[2016, 2017, 2018, 2019, 2020]",0,0,
SPE,Software: Practice and Experience,SPE,journal,2021,"[2017, 2018, 2019, 2020, 2021]",0,0,
SPE,Software: Practice and Experience,SPE,journal,2022,"[2018, 2019, 2020, 2021, 2022]",0,0,
SPE,Software: Practice and Experience,SPE,journal,2023,"[2019, 2020, 2021, 2022, 2023]",0,0,
SPE,Software: Practice and Experience,SPE,journal,2024,"[2020, 2021, 2022, 2023, 2024]",0,0,
SPE,Software: Practice and Experience,SPE,journal,2025,"[2021, 2022, 2023, 2024, 2025]",0,0,
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,conference,2015,"[2011, 2012, 2013, 2014, 2015]",279,93,146.0
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,conference,2016,"[2012, 2013, 2014, 2015, 2016]",275,91,142.0
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,conference,2017,"[2013, 2014, 2015, 2016, 2017]",280,88,142.0
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,conference,2018,"[2014, 2015, 2016, 2017, 2018]",278,83,137.0
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,conference,2019,"[2015, 2016, 2017, 2018, 2019]",295,79,128.0
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,conference,2020,"[2016, 2017, 2018, 2019, 2020]",293,72,110.5
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,conference,2021,"[2017, 2018, 2019, 2020, 2021]",298,67,102.0
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,conference,2022,"[2018, 2019, 2020, 2021, 2022]",305,59,88.0
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,conference,2023,"[2019, 2020, 2021, 2022, 2023]",262,52,80.0
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,conference,2024,"[2020, 2021, 2022, 2023, 2024]",179,41,66.0
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,conference,2025,"[2021, 2022, 2023, 2024, 2025]",117,32,44.0
ISSTA,International Symposium on Software Testing and Analysis,ISSTA,conference,2015,"[2011, 2012, 2013, 2014, 2015]",192,63,105.0
ISSTA,International Symposium on Software Testing and Analysis,ISSTA,conference,2016,"[2012, 2013, 2014, 2015, 2016]",197,61,112.0
ISSTA,International Symposium on Software Testing and Analysis,ISSTA,conference,2017,"[2013, 2014, 2015, 2016, 2017]",218,59,105.0
ISSTA,International Symposium on Software Testing and Analysis,ISSTA,conference,2018,"[2014, 2015, 2016, 2017, 2018]",222,61,119.0
ISSTA,International Symposium on Software Testing and Analysis,ISSTA,conference,2019,"[2015, 2016, 2017, 2018, 2019]",236,64,125.5
ISSTA,International Symposium on Software Testing and Analysis,ISSTA,conference,2020,"[2016, 2017, 2018, 2019, 2020]",249,62,125.5
ISSTA,International Symposium on Software Testing and Analysis,ISSTA,conference,2021,"[2017, 2018, 2019, 2020, 2021]",270,60,110.0
ISSTA,International Symposium on Software Testing and Analysis,ISSTA,conference,2022,"[2018, 2019, 2020, 2021, 2022]",285,64,107.5
ISSTA,International Symposium on Software Testing and Analysis,ISSTA,conference,2023,"[2019, 2020, 2021, 2022, 2023]",385,59,94.0
ISSTA,International Symposium on Software Testing and Analysis,ISSTA,conference,2024,"[2020, 2021, 2022, 2023, 2024]",495,55,87.0
ISSTA,International Symposium on Software Testing and Analysis,ISSTA,conference,2025,"[2021, 2022, 2023, 2024, 2025]",441,49,69.0
MSR,Mining Software Repositories,MSR,conference,2015,"[2011, 2012, 2013, 2014, 2015]",197,70,137.5
MSR,Mining Software Repositories,MSR,conference,2016,"[2012, 2013, 2014, 2015, 2016]",246,72,137.0
MSR,Mining Software Repositories,MSR,conference,2017,"[2013, 2014, 2015, 2016, 2017]",329,74,137.0
MSR,Mining Software Repositories,MSR,conference,2018,"[2014, 2015, 2016, 2017, 2018]",361,71,125.0
MSR,Mining Software Repositories,MSR,conference,2019,"[2015, 2016, 2017, 2018, 2019]",383,63,106.0
MSR,Mining Software Repositories,MSR,conference,2020,"[2016, 2017, 2018, 2019, 2020]",462,68,106.5
MSR,Mining Software Repositories,MSR,conference,2021,"[2017, 2018, 2019, 2020, 2021]",455,64,102.0
MSR,Mining Software Repositories,MSR,conference,2022,"[2018, 2019, 2020, 2021, 2022]",419,57,88.0
MSR,Mining Software Repositories,MSR,conference,2023,"[2019, 2020, 2021, 2022, 2023]",436,49,79.0
MSR,Mining Software Repositories,MSR,conference,2024,"[2020, 2021, 2022, 2023, 2024]",435,42,73.5
MSR,Mining Software Repositories,MSR,conference,2025,"[2021, 2022, 2023, 2024, 2025]",464,35,65.0
IEEE Software,IEEE Software,IEEE Software,journal,2015,"[2011, 2012, 2013, 2014, 2015]",509,66,117.0
IEEE Software,IEEE Software,IEEE Software,journal,2016,"[2012, 2013, 2014, 2015, 2016]",517,70,129.0
IEEE Software,IEEE Software,IEEE Software,journal,2017,"[2013, 2014, 2015, 2016, 2017]",544,69,117.0
IEEE Software,IEEE Software,IEEE Software,journal,2018,"[2014, 2015, 2016, 2017, 2018]",539,68,125.5
IEEE Software,IEEE Software,IEEE Software,journal,2019,"[2015, 2016, 2017, 2018, 2019]",556,64,103.0
IEEE Software,IEEE Software,IEEE Software,journal,2020,"[2016, 2017, 2018, 2019, 2020]",609,58,98.0
IEEE Software,IEEE Software,IEEE Software,journal,2021,"[2017, 2018, 2019, 2020, 2021]",608,52,85.0
IEEE Software,IEEE Software,IEEE Software,journal,2022,"[2018, 2019, 2020, 2021, 2022]",610,44,76.0
IEEE Software,IEEE Software,IEEE Software,journal,2023,"[2019, 2020, 2021, 2022, 2023]",670,40,68.0
IEEE Software,IEEE Software,IEEE Software,journal,2024,"[2020, 2021, 2022, 2023, 2024]",706,36,58.5
IEEE Software,IEEE Software,IEEE Software,journal,2025,"[2021, 2022, 2023, 2024, 2025]",690,28,48.5
SOSP,Symposium on Operating Systems Principles,SOSP,conference,2015,"[2011, 2012, 2013, 2014, 2015]",110,65,178.0
SOSP,Symposium on Operating Systems Principles,SOSP,conference,2016,"[2012, 2013, 2014, 2015, 2016]",79,50,173.0
SOSP,Symposium on Operating Systems Principles,SOSP,conference,2017,"[2013, 2014, 2015, 2016, 2017]",116,67,188.0
SOSP,Symposium on Operating Systems Principles,SOSP,conference,2018,"[2014, 2015, 2016, 2017, 2018]",84,50,150.0
SOSP,Symposium on Operating Systems Principles,SOSP,conference,2019,"[2015, 2016, 2017, 2018, 2019]",105,63,165.0
SOSP,Symposium on Operating Systems Principles,SOSP,conference,2020,"[2016, 2017, 2018, 2019, 2020]",74,50,136.5
SOSP,Symposium on Operating Systems Principles,SOSP,conference,2021,"[2017, 2018, 2019, 2020, 2021]",128,62,133.5
SOSP,Symposium on Operating Systems Principles,SOSP,conference,2022,"[2018, 2019, 2020, 2021, 2022]",93,49,93.0
SOSP,Symposium on Operating Systems Principles,SOSP,conference,2023,"[2019, 2020, 2021, 2022, 2023]",128,55,105.0
SOSP,Symposium on Operating Systems Principles,SOSP,conference,2024,"[2020, 2021, 2022, 2023, 2024]",134,44,80.0
SOSP,Symposium on Operating Systems Principles,SOSP,conference,2025,"[2021, 2022, 2023, 2024, 2025]",194,44,80.0
SoSyM,Software and Systems Modeling,SoSyM,journal,2015,"[2011, 2012, 2013, 2014, 2015]",477,53,77.0
SoSyM,Software and Systems Modeling,SoSyM,journal,2016,"[2012, 2013, 2014, 2015, 2016]",504,54,84.5
SoSyM,Software and Systems Modeling,SoSyM,journal,2017,"[2013, 2014, 2015, 2016, 2017]",508,54,81.0
SoSyM,Software and Systems Modeling,SoSyM,journal,2018,"[2014, 2015, 2016, 2017, 2018]",492,54,81.5
SoSyM,Software and Systems Modeling,SoSyM,journal,2019,"[2015, 2016, 2017, 2018, 2019]",496,52,80.0
SoSyM,Software and Systems Modeling,SoSyM,journal,2020,"[2016, 2017, 2018, 2019, 2020]",461,46,81.5
